NSTRANA,NAZEV_STRN,ZKRATKAN30,ZKRATKAN8
736,"SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ČECH,MORAVY,SLEZSKA","SPR-REP.STR.ČECH,MORAVY,SLEZ.","SPR-RSČMS"
738,"Jundrováci","Jundrováci","Jundrováci"
739,"Královopolští patrioti","Královopolští patrioti","KPP"
742,"Strakonická Veřejnost","Strakonická Veřejnost","SV"
745,"Bílinští sociální demokraté a nezávislí","Bílinští soc. dem. a nezávislí","BSDN"
747,"ZaRegion","ZaRegion","ZaRegion"
752,"ŠVÝCARSKÁ DEMOKRACIE","ŠVÝCARSKÁ DEMOKRACIE","Švýcarská dem."
753,"Občané pro Budějovice","Občané pro Budějovice","HOPB"
755,"Ostravak","Ostravak","Ostravak"
756,"Česká strana regionů","Česká strana regionů","ČSR"
759,"ČSSD – Česká suverenita sociální demokracie","Česká suverenita soc. dem.","ČSSD"
761,"BEZPEČNÉ ULICE","BEZPEČNÉ ULICE","BEZ-UL"
766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12"
768,"ANO 2011","ANO 2011","ANO"
769,"Strana konzervativní pravice - Řád národa","Str. konz. pravice-Řád národa","SKP - ŘN"
770,"VÝCHODOČEŠI","VÝCHODOČEŠI","VČ"
773,"Středočeši2012.cz","Středočeši2012.cz","S2012"
775,"ZVUK 12","ZVUK 12","ZVUK 12"
779,"Starostové pro občany","Starostové pro občany","STO"
780,"Nová budoucnost pro Liberecký kraj","Nová budoucn.pro Liberecký kr.","NBPLK"
785,"Zdraví Sport Vzdělání 2012","Zdraví Sport Vzdělání 2012","PRO Zdraví"
786,"Občanská sounáležitost","Občanská sounáležitost","OS"
790,"Pardubice pro lidi","Pardubice pro lidi","PPL"
793,"Nový směr","Nový směr","NOS"
795,"Liberálně ekologická strana","Liberálně ekologická strana","LES"
797,"Zlín 21","Zlín 21","Z21"
799,"Naše město F-M","Naše město F-M","NMFM"
997,"Navrhující poslanci","Navrhující poslanci","Poslanci"
998,"Navrhující senátoři","Navrhující senátoři","Senátoři"
999,"Navrhující občan","Navrhující občan","Občan"
1004,"Patrioti České republiky","Patrioti České republiky","Patrioti ČR"
1005,"START21","START21","START"
1007,"Hnutí Správný stát","Hnutí Správný stát","HSS"
1009,"Jižní Město - náš domov","Jižní Město - náš domov","JM-ND"
1012,"ÚSTECKÉ FÓRUM OBČANŮ","ÚSTECKÉ FÓRUM OBČANŮ","UFO"
1014,"PRO PLZEŇ","PRO PLZEŇ","PRO PLZEŇ"
1016,"HRADEČTÍ PATRIOTI","HRADEČTÍ PATRIOTI","HP"
1017,"NOVÝ SEVER","NOVÝ SEVER","NS"
1020,"Pévéčko","Pévéčko","PV"
1021,"Čistý kraj","Čistý kraj","ČiKR"
1022,"Občané patrioti","Občané patrioti","OPAT"
1025,"Ta naše Třebíč","Ta naše Třebíč","TnT"
1026,"Žít Brno","Žít Brno","ŽTB"
1028,"Karlovaráci","Karlovaráci","KVC"
1030,"Podpora občanů","Podpora občanů","Podpora"
1031,"Hnutí SOL","Hnutí SOL","SOL"
1036,"Město pro vás","Město pro vás","MPV"
1039,"ProOlomouc","ProOlomouc","ProOl"
1040,"NOVÁ PLZEŇ","NOVÁ PLZEŇ","NOPL"
1041,"Společ. proti develop. výstavbě v Prokop. údolí","Společ.proti výst.v Prok.údolí","SPDV"
1042,"„Hnutí Praha-Kunratice“","„Hnutí Praha-Kunratice“","„HPK“"
1043,"NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU","NEZ.PRO P10-HNUTÍ PRO LEPŠÍ 10","NPP10-HPLD"
1047,"SPOLEHNUTÍ - SPOLEČNÉ HNUTÍ ČESKOLIPANŮ","SPOLEHNUTÍ-SPOL.HN.ČESKOLIPANŮ","SPOLEHNUTÍ"
1049,"Hradecký demokratický klub","Hradecký demokratický klub","HDK"
1053,"Volyně v dolyně","Volyně v dolyně","VvD"
1055,"Šance pro Duchcov","Šance pro Duchcov","ŠpD"
1061,"SMS – Stát Má Sloužit","SMS – Stát Má Sloužit","SMSka"
1063,"Moderní společnost","Moderní společnost","MODES"
